shape,19620,40
Row,Col,Val
0,0,6.6776743425959263509e-07
2,0,8.4365958054315890848e-07
4,0,7.2336906516458718901e-06
6,0,7.7281571189554832925e-06
10,0,1.0593338704849704144e-06
60,0,8.014600939265640979e-06
62,0,7.7423233610057792093e-06
64,0,1.0597580256943585738e-05
66,0,1.1664187200420277638e-05
68,0,1.174902830924876147e-05
70,0,1.1525466249551937558e-05
72,0,1.6456877145679799351e-05
80,0,3.0652121216912599096e-06
84,0,2.7504115604551773681e-09
86,0,3.980660690215147407e-06
88,0,1.0837311144907869941e-11
202,0,2.6266041789452189847e-06
204,0,4.1386428320584291895e-06
206,0,8.9075855118357704992e-06
208,0,8.2597389076858651125e-06
210,0,7.2352585601907116076e-06
212,0,1.1122268654714273465e-05
214,0,1.4905337991215666975e-05
222,0,2.9406325198001701817e-06
224,0,6.2300319494671755823e-10
228,0,5.9396654760723694184e-06
230,0,6.4088621520696074609e-08
232,0,1.4410561610344106469e-10
344,0,1.2969782116172296485e-05
346,0,1.0128837503552225353e-05
348,0,1.5729158645188838283e-05
350,0,1.782494976322593206e-05
352,0,1.6972504979041634296e-05
354,0,1.3114250261548431647e-05
356,0,1.1252758912203086417e-05
358,0,1.742185006817533385e-05
360,0,1.355311349876740543e-05
362,0,1.034156221907028814e-05
364,0,1.3583717926780103027e-05
366,0,1.3592185925121543874e-05
368,0,1.1831659062548971888e-05
370,0,1.4487107434969924123e-05
372,0,1.6727723062206830161e-05
374,0,6.5219548125438073981e-06
376,0,1.7171266693958558828e-05
378,0,1.1192286785209580726e-05
380,0,1.5872775948877603517e-05
406,0,1.8450871458663738658e-06
408,0,7.2237370668965693984e-10
410,0,2.5321732471808883973e-10
412,0,1.6215385590386040169e-06
414,0,4.8197772837205764615e-09
778,0,1.7161243331694369094e-06
780,0,2.4952698977377428533e-06
782,0,1.3801366450726695575e-05
784,0,8.2662817351924521079e-06
786,0,1.0113191641734084139e-05
788,0,8.3676443569822402731e-06
790,0,7.2552256944515954449e-06
798,0,5.2045535793595235183e-06
802,0,4.806987990670639336e-07
804,0,1.0671406269949440704e-06
806,0,7.2479155731695448097e-06
808,0,4.0974268250572557687e-07
938,0,9.9234502883986137341e-06
940,0,9.4337308814937351767e-06
942,0,1.0334815749283268979e-05
944,0,1.4186167916454842179e-05
946,0,1.4642445127747525733e-05
948,0,1.2100344078964526601e-05
950,0,1.2141551838121112083e-05
952,0,1.3202902678378632215e-05
954,0,1.3530826200618317398e-05
956,0,1.2100142025456365121e-05
958,0,1.4040297688861613074e-05
960,0,1.3015697642511631066e-05
962,0,1.3252864442302566273e-05
964,0,1.8454391728250700929e-05
966,0,1.6594483677911301653e-05
968,0,9.3369390949608556038e-06
970,0,1.9251690561198114875e-05
972,0,1.5507048720548970155e-05
974,0,9.2495268012142479221e-06
1000,0,2.5958859735590559758e-06
1002,0,8.8285285502906450733e-08
1004,0,2.5779458628891529811e-06
1006,0,4.5438962270040426724e-06
1008,0,2.731418974870502768e-06
1010,0,3.7105065076679026138e-09
1378,0,6.1868960783867590219e-06
1380,0,5.0612420195744695916e-06
1382,0,8.8443646802668130126e-06
1384,0,1.4765126869698432289e-05
1386,0,1.4997101716498114488e-05
1388,0,1.671902021841046264e-05
